지역명,동,평균
서울특별시 마포구 상암동,상암동,0.373338703
서울특별시 마포구 도화동,도화동,0.185727962
서울특별시 마포구 서강동,서강동,0.129826472
서울특별시 마포구 공덕동,공덕동,0.366024709
서울특별시 마포구 아현동,아현동,0.138958678
서울특별시 양천구 목1동,목1동,0.146439886
서울특별시 양천구 목2동,목2동,0.223949926
서울특별시 양천구 목3동,목3동,0.136433794
서울특별시 양천구 목4동,목4동,0.177366869
서울특별시 양천구 신월1동,신월1동,0.240592498
서울특별시 양천구 신월2동,신월2동,0.192849357
서울특별시 양천구 신월3동,신월3동,0.166077485
서울특별시 양천구 신월4동,신월4동,0.1199279
서울특별시 양천구 신월5동,신월5동,0.149470122
서울특별시 양천구 신월6동,신월6동,0.035508977
서울특별시 양천구 신월7동,신월7동,0.206122157
서울특별시 양천구 신정1동,신정1동,0.118139317
서울특별시 양천구 신정2동,신정2동,0.086137388
서울특별시 양천구 신정3동,신정3동,0.526746853
서울특별시 양천구 신정6동,신정6동,0.172391171
서울특별시 양천구 신정7동,신정7동,0.279984957
서울특별시 양천구 목5동,목5동,0.177090015
서울특별시 양천구 신정4동,신정4동,0.35498219
서울특별시 강서구 염창동,염창동,0.223139059
서울특별시 강서구 등촌1동,등촌1동,0.133992479
서울특별시 강서구 등촌2동,등촌2동,0.111629015
서울특별시 강서구 등촌3동,등촌3동,0.828607795
서울특별시 강서구 화곡본동,화곡본동,0.269821409
서울특별시 강서구 화곡2동,화곡2동,0.161079442
서울특별시 강서구 화곡3동,화곡3동,0.169365273
서울특별시 강서구 화곡4동,화곡4동,0.183406808
서울특별시 강서구 화곡6동,화곡6동,0.205766423
서울특별시 강서구 화곡8동,화곡8동,0.208362209
서울특별시 강서구 가양1동,가양1동,0.218835156
서울특별시 강서구 가양2동,가양2동,0.460684888
서울특별시 강서구 가양3동,가양3동,0.276078254
서울특별시 강서구 발산1동,발산1동,0.315661089
서울특별시 강서구 공항동,공항동,0.194983799
서울특별시 강서구 방화1동,방화1동,0.497679662
서울특별시 강서구 방화2동,방화2동,0.331038065
서울특별시 강서구 방화3동,방화3동,0.378216879
서울특별시 강서구 화곡1동,화곡1동,0.500225367
서울특별시 강서구 우장산동,우장산동,0.29107506
서울특별시 구로구 신도림동,신도림동,0.201159323
서울특별시 구로구 구로1동,구로1동,0.120430108
서울특별시 구로구 구로3동,구로3동,0.21120982
서울특별시 구로구 구로4동,구로4동,0.298882292
서울특별시 구로구 구로5동,구로5동,0.312278006
서울특별시 구로구 고척1동,고척1동,0.197112992
서울특별시 구로구 고척2동,고척2동,0.266921798
서울특별시 구로구 개봉2동,개봉2동,0.278922361
서울특별시 구로구 개봉3동,개봉3동,0.190894526
서울특별시 구로구 오류1동,오류1동,0.220839266
서울특별시 구로구 오류2동,오류2동,0.436222747
서울특별시 구로구 수궁동,수궁동,0.219834586
서울특별시 구로구 가리봉동,가리봉동,0.159568469
서울특별시 구로구 구로2동,구로2동,0.347099996
서울특별시 구로구 개봉1동,개봉1동,0.334668798
서울특별시 금천구 가산동,가산동,0.129186301
서울특별시 금천구 독산1동,독산1동,0.423570527
서울특별시 금천구 독산2동,독산2동,0.169672946
서울특별시 금천구 독산3동,독산3동,0.254563228
서울특별시 금천구 독산4동,독산4동,0.164552171
서울특별시 금천구 시흥1동,시흥1동,0.334293165
서울특별시 금천구 시흥2동,시흥2동,0.209604179
서울특별시 금천구 시흥3동,시흥3동,0.087060902
서울특별시 금천구 시흥4동,시흥4동,0.236121089
서울특별시 금천구 시흥5동,시흥5동,0.256001009
서울특별시 영등포구 여의동,여의동,0.315235752
서울특별시 영등포구 당산1동,당산1동,0.201716127
서울특별시 영등포구 당산2동,당산2동,0.225737223
서울특별시 영등포구 양평1동,양평1동,0.146067221
서울특별시 영등포구 양평2동,양평2동,0.114386214
서울특별시 영등포구 신길1동,신길1동,0.178953599
서울특별시 영등포구 신길3동,신길3동,0.16993315
서울특별시 영등포구 신길4동,신길4동,0.101948417
서울특별시 영등포구 신길5동,신길5동,0.102949766
서울특별시 영등포구 신길6동,신길6동,0.155988238
서울특별시 영등포구 신길7동,신길7동,0.108940851
서울특별시 영등포구 대림1동,대림1동,0.16227078
서울특별시 영등포구 대림2동,대림2동,0.110005791
서울특별시 영등포구 대림3동,대림3동,0.283020397
서울특별시 영등포구 영등포본동,영등포본동,0.247708951
서울특별시 영등포구 영등포동,영등포동,0.341818129
서울특별시 영등포구 도림동,도림동,0.20982136
서울특별시 영등포구 문래동,문래동,0.171109353
서울특별시 동작구 노량진2동,노량진2동,0.15459525
서울특별시 동작구 상도1동,상도1동,0.417760499
서울특별시 동작구 상도2동,상도2동,0.1863893
서울특별시 동작구 상도3동,상도3동,0.204366405
서울특별시 동작구 상도4동,상도4동,0.255442232
서울특별시 동작구 사당1동,사당1동,0.1754243
서울특별시 동작구 사당3동,사당3동,0.131672118
서울특별시 동작구 사당4동,사당4동,0.12862238
서울특별시 동작구 사당5동,사당5동,0.097884275
서울특별시 동작구 대방동,대방동,0.333815612
서울특별시 동작구 신대방1동,신대방1동,0.153584316
서울특별시 동작구 신대방2동,신대방2동,0.256556583
서울특별시 동작구 흑석동,흑석동,0.256183817
서울특별시 동작구 노량진1동,노량진1동,0.254265737
서울특별시 동작구 사당2동,사당2동,0.219515902
서울특별시 관악구 보라매동,보라매동,0.325020323
서울특별시 관악구 청림동,청림동,0.144700536
서울특별시 관악구 행운동,행운동,0.224751008
서울특별시 관악구 낙성대동,낙성대동,0.086953303
서울특별시 관악구 중앙동,중앙동,0.13010764
서울특별시 관악구 인헌동,인헌동,0.169958863
서울특별시 관악구 남현동,남현동,0.095242295
서울특별시 관악구 서원동,서원동,0.222604223
서울특별시 관악구 신원동,신원동,0.173753605
서울특별시 관악구 서림동,서림동,0.174947312
서울특별시 관악구 신사동,신사동,0.207520088
서울특별시 관악구 신사동,신사동,0.207520088
서울특별시 강남구 신사동,신사동,0.053709896
서울특별시 강남구 신사동,신사동,0.053709896
서울특별시 관악구 신림동,신림동,0.167067462
서울특별시 관악구 난향동,난향동,0.142718212
서울특별시 관악구 조원동,조원동,0.16429543
서울특별시 관악구 대학동,대학동,0.160777803
서울특별시 관악구 은천동,은천동,0.40446536
서울특별시 관악구 성현동,성현동,0.334520635
서울특별시 관악구 청룡동,청룡동,0.217969526
서울특별시 관악구 난곡동,난곡동,0.363734606
서울특별시 관악구 삼성동,삼성동,0.26928075
서울특별시 관악구 미성동,미성동,0.296823816
서울특별시 서초구 서초1동,서초1동,0.14429147
