지역명,동,평균
서울특별시 양천구 신월4동,신월4동,66.16666667
서울특별시 양천구 신월5동,신월5동,81.16666667
서울특별시 양천구 신월6동,신월6동,23.16666667
서울특별시 양천구 신월7동,신월7동,108.3333333
서울특별시 양천구 신정1동,신정1동,65.33333333
서울특별시 양천구 신정2동,신정2동,48.5
서울특별시 양천구 신정3동,신정3동,217.6666667
서울특별시 양천구 신정6동,신정6동,52.5
서울특별시 양천구 신정7동,신정7동,135.1666667
서울특별시 양천구 목5동,목5동,67.83333333
서울특별시 양천구 신정4동,신정4동,176.8333333
서울특별시 강서구 염창동,염창동,117.3333333
서울특별시 강서구 등촌1동,등촌1동,73.16666667
서울특별시 강서구 등촌2동,등촌2동,62
서울특별시 강서구 등촌3동,등촌3동,361.6666667
서울특별시 강서구 화곡본동,화곡본동,142
서울특별시 강서구 화곡2동,화곡2동,87.16666667
서울특별시 강서구 화곡3동,화곡3동,91.33333333
서울특별시 강서구 화곡4동,화곡4동,98.5
서울특별시 강서구 화곡6동,화곡6동,106.5
서울특별시 강서구 화곡8동,화곡8동,111
서울특별시 강서구 가양1동,가양1동,85.5
서울특별시 강서구 가양2동,가양2동,193
서울특별시 강서구 가양3동,가양3동,136.1666667
서울특별시 강서구 발산1동,발산1동,146.1666667
서울특별시 강서구 공항동,공항동,99.66666667
서울특별시 강서구 방화1동,방화1동,193.8333333
서울특별시 강서구 방화2동,방화2동,149.1666667
서울특별시 강서구 방화3동,방화3동,177.1666667
서울특별시 강서구 화곡1동,화곡1동,257.8333333
서울특별시 강서구 우장산동,우장산동,140.5
서울특별시 구로구 신도림동,신도림동,105.5
서울특별시 구로구 구로1동,구로1동,66.5
서울특별시 구로구 구로3동,구로3동,103.1666667
서울특별시 구로구 구로4동,구로4동,156.5
서울특별시 구로구 구로5동,구로5동,125.8333333
서울특별시 구로구 고척1동,고척1동,99.5
서울특별시 구로구 고척2동,고척2동,140.5
서울특별시 구로구 개봉2동,개봉2동,146.8333333
서울특별시 구로구 개봉3동,개봉3동,102.3333333
서울특별시 구로구 오류1동,오류1동,117.3333333
서울특별시 구로구 오류2동,오류2동,201.1666667
서울특별시 구로구 수궁동,수궁동,103.1666667
서울특별시 구로구 가리봉동,가리봉동,86.16666667
서울특별시 구로구 구로2동,구로2동,159.8333333
서울특별시 구로구 개봉1동,개봉1동,166.1666667
서울특별시 금천구 가산동,가산동,70.33333333
서울특별시 금천구 독산1동,독산1동,200.3333333
서울특별시 금천구 독산2동,독산2동,91.5
서울특별시 금천구 독산3동,독산3동,131.5
서울특별시 금천구 독산4동,독산4동,88.83333333
서울특별시 금천구 시흥1동,시흥1동,172.8333333
서울특별시 금천구 시흥2동,시흥2동,111.3333333
서울특별시 금천구 시흥3동,시흥3동,49.5
서울특별시 금천구 시흥4동,시흥4동,125.3333333
서울특별시 금천구 시흥5동,시흥5동,135.5
서울특별시 영등포구 여의동,여의동,92.16666667
