,지역명,동,평균,승차건수
181,서울특별시 은평구 대조동,대조동,155.16666669999998,2954.0
182,서울특별시 은평구 응암1동,응암1동,139.66666669999998,6058.0
183,서울특별시 은평구 응암2동,응암2동,93.33333333,19798.0
184,서울특별시 은평구 신사1동,신사1동,141.5,19408.0
185,서울특별시 은평구 신사2동,신사2동,97.16666667,181.0
186,서울특별시 은평구 증산동,증산동,78.5,594.0
187,서울특별시 은평구 수색동,수색동,78.83333333,76.0
188,서울특별시 은평구 진관동,진관동,212.66666669999998,31688.0
189,서울특별시 은평구 불광2동,불광2동,182.5,1256.0
190,서울특별시 은평구 응암3동,응암3동,147.0,3546.0
191,서울특별시 은평구 역촌동,역촌동,224.66666669999998,93565.0
192,서울특별시 서대문구 천연동,천연동,85.16666667,335.0
193,서울특별시 서대문구 홍제1동,홍제1동,100.16666670000001,0.0
194,서울특별시 서대문구 홍제3동,홍제3동,97.0,0.0
195,서울특별시 서대문구 홍제2동,홍제2동,76.33333333,0.0
196,서울특별시 서대문구 홍은1동,홍은1동,106.33333329999999,258.0
197,서울특별시 서대문구 홍은2동,홍은2동,138.83333330000002,23277.0
198,서울특별시 서대문구 남가좌1동,남가좌1동,49.33333333,421.0
199,서울특별시 서대문구 남가좌2동,남가좌2동,104.5,15778.0
200,서울특별시 서대문구 북가좌1동,북가좌1동,76.5,20.0
201,서울특별시 서대문구 북가좌2동,북가좌2동,156.83333330000002,5341.0
202,서울특별시 서대문구 충현동,충현동,94.16666667,7125.0
203,서울특별시 서대문구 북아현동,북아현동,60.66666667,7630.0
204,서울특별시 서대문구 신촌동,신촌동,53.33333333,131782.0
205,서울특별시 서대문구 연희동,연희동,143.0,59257.0
206,서울특별시 마포구 용강동,용강동,67.33333333,29.0
207,서울특별시 마포구 대흥동,대흥동,48.0,14160.0
208,서울특별시 마포구 염리동,염리동,63.33333333,6.0
209,서울특별시 마포구 신수동,신수동,72.33333333,3.0
210,서울특별시 마포구 서교동,서교동,95.83333333,12519.0
211,서울특별시 마포구 합정동,합정동,67.16666667,248.0
212,서울특별시 마포구 망원1동,망원1동,100.0,12918.0
213,서울특별시 마포구 망원2동,망원2동,87.5,5789.0
214,서울특별시 마포구 연남동,연남동,71.0,11.0
215,서울특별시 마포구 성산1동,성산1동,78.83333333,8774.0
216,서울특별시 마포구 성산2동,성산2동,216.33333330000002,86697.0
217,서울특별시 마포구 상암동,상암동,131.5,57579.0
218,서울특별시 마포구 도화동,도화동,98.83333333,832.0
219,서울특별시 마포구 서강동,서강동,70.83333333,408.0
220,서울특별시 마포구 공덕동,공덕동,188.33333330000002,2928.0
221,서울특별시 마포구 아현동,아현동,75.0,845.0
222,서울특별시 양천구 목1동,목1동,71.5,7442.0
223,서울특별시 양천구 목2동,목2동,118.83333329999999,350.0
224,서울특별시 양천구 목3동,목3동,74.0,587.0
225,서울특별시 양천구 목4동,목4동,94.83333333,599.0
226,서울특별시 양천구 신월1동,신월1동,127.0,629.0
227,서울특별시 양천구 신월2동,신월2동,103.33333329999999,44.0
228,서울특별시 양천구 신월3동,신월3동,89.66666667,73.0
229,서울특별시 양천구 신월4동,신월4동,66.16666667,70.0
230,서울특별시 양천구 신월5동,신월5동,81.16666667,111.0
231,서울특별시 양천구 신월6동,신월6동,23.16666667,76.0
232,서울특별시 양천구 신월7동,신월7동,108.33333329999999,1632.0
233,서울특별시 양천구 신정1동,신정1동,65.33333333,0.0
234,서울특별시 양천구 신정2동,신정2동,48.5,483.0
235,서울특별시 양천구 신정3동,신정3동,217.66666669999998,50325.0
236,서울특별시 양천구 신정6동,신정6동,52.5,36516.0
237,서울특별시 양천구 신정7동,신정7동,135.16666669999998,11364.0
238,서울특별시 양천구 목5동,목5동,67.83333333,24838.0
239,서울특별시 양천구 신정4동,신정4동,176.83333330000002,8231.0
240,서울특별시 강서구 염창동,염창동,117.33333329999999,1331.0
241,서울특별시 강서구 등촌1동,등촌1동,73.16666667,217.0
242,서울특별시 강서구 등촌2동,등촌2동,62.0,16.0
243,서울특별시 강서구 등촌3동,등촌3동,361.6666667,59109.0
244,서울특별시 강서구 화곡본동,화곡본동,142.0,526.0
245,서울특별시 강서구 화곡2동,화곡2동,87.16666667,32.0
246,서울특별시 강서구 화곡3동,화곡3동,91.33333333,80.0
247,서울특별시 강서구 화곡4동,화곡4동,98.5,66.0
248,서울특별시 강서구 화곡6동,화곡6동,106.5,3123.0
249,서울특별시 강서구 화곡8동,화곡8동,111.0,255.0
250,서울특별시 강서구 가양1동,가양1동,85.5,28081.0
251,서울특별시 강서구 가양2동,가양2동,193.0,42223.0
252,서울특별시 강서구 가양3동,가양3동,136.16666669999998,8666.0
253,서울특별시 강서구 발산1동,발산1동,146.16666669999998,17834.0
254,서울특별시 강서구 공항동,공항동,99.66666667,4334.0
255,서울특별시 강서구 방화1동,방화1동,193.83333330000002,58474.0
256,서울특별시 강서구 방화2동,방화2동,149.16666669999998,22194.0
257,서울특별시 강서구 방화3동,방화3동,177.16666669999998,18609.0
258,서울특별시 강서구 화곡1동,화곡1동,257.8333333,1887.0
259,서울특별시 강서구 우장산동,우장산동,140.5,11648.0
260,서울특별시 구로구 신도림동,신도림동,105.5,1908.0
261,서울특별시 구로구 구로1동,구로1동,66.5,0.0
262,서울특별시 구로구 구로3동,구로3동,103.16666670000001,8633.0
263,서울특별시 구로구 구로4동,구로4동,156.5,797.0
264,서울특별시 구로구 구로5동,구로5동,125.83333329999999,34629.0
265,서울특별시 구로구 고척1동,고척1동,99.5,5463.0
266,서울특별시 구로구 고척2동,고척2동,140.5,547.0
267,서울특별시 구로구 개봉2동,개봉2동,146.83333330000002,347.0
268,서울특별시 구로구 개봉3동,개봉3동,102.33333329999999,48.0
269,서울특별시 구로구 오류1동,오류1동,117.33333329999999,274.0
270,서울특별시 구로구 오류2동,오류2동,201.16666669999998,23610.0
271,서울특별시 구로구 수궁동,수궁동,103.16666670000001,12597.0
272,서울특별시 구로구 가리봉동,가리봉동,86.16666667,240.0
273,서울특별시 구로구 구로2동,구로2동,159.83333330000002,19950.0
274,서울특별시 구로구 개봉1동,개봉1동,166.16666669999998,8521.0
275,서울특별시 금천구 가산동,가산동,70.33333333,565.0
276,서울특별시 금천구 독산1동,독산1동,200.33333330000002,18547.0
277,서울특별시 금천구 독산2동,독산2동,91.5,71.0
278,서울특별시 금천구 독산3동,독산3동,131.5,2989.0
279,서울특별시 금천구 독산4동,독산4동,88.83333333,124.0
280,서울특별시 금천구 시흥1동,시흥1동,172.83333330000002,2332.0
281,서울특별시 금천구 시흥2동,시흥2동,111.33333329999999,525.0
282,서울특별시 금천구 시흥3동,시흥3동,49.5,5.0
283,서울특별시 금천구 시흥4동,시흥4동,125.33333329999999,78.0
284,서울특별시 금천구 시흥5동,시흥5동,135.5,40.0
285,서울특별시 영등포구 여의동,여의동,92.16666667,66371.0
286,서울특별시 영등포구 당산1동,당산1동,103.83333329999999,3668.0
287,서울특별시 영등포구 당산2동,당산2동,119.83333329999999,269.0
288,서울특별시 영등포구 양평1동,양평1동,77.5,1856.0
289,서울특별시 영등포구 양평2동,양평2동,62.5,832.0
290,서울특별시 영등포구 신길1동,신길1동,96.16666667,125.0
291,서울특별시 영등포구 신길3동,신길3동,91.33333333,341.0
292,서울특별시 영등포구 신길4동,신길4동,57.0,79.0
293,서울특별시 영등포구 신길5동,신길5동,57.5,88.0
294,서울특별시 영등포구 신길6동,신길6동,84.33333333,249.0
295,서울특별시 영등포구 신길7동,신길7동,60.16666667,435.0
296,서울특별시 영등포구 대림1동,대림1동,86.16666667,1482.0
297,서울특별시 영등포구 대림2동,대림2동,61.16666667,22.0
298,서울특별시 영등포구 대림3동,대림3동,118.5,27800.0
299,서울특별시 영등포구 영등포본동,영등포본동,130.1666667,1042.0
300,서울특별시 영등포구 영등포동,영등포동,107.83333329999999,64450.0
301,서울특별시 영등포구 도림동,도림동,111.66666670000001,324.0
302,서울특별시 영등포구 문래동,문래동,91.16666667,1032.0
303,서울특별시 동작구 노량진2동,노량진2동,83.83333333,60.0
304,서울특별시 동작구 상도1동,상도1동,209.16666669999998,7905.0
305,서울특별시 동작구 상도2동,상도2동,98.0,1888.0
306,서울특별시 동작구 상도3동,상도3동,109.16666670000001,73.0
307,서울특별시 동작구 상도4동,상도4동,135.16666669999998,84.0
308,서울특별시 동작구 사당1동,사당1동,94.5,7.0
309,서울특별시 동작구 사당3동,사당3동,72.16666667,53.0
310,서울특별시 동작구 사당4동,사당4동,70.66666667,5.0
311,서울특별시 동작구 사당5동,사당5동,55.0,16.0
312,서울특별시 동작구 대방동,대방동,160.0,13694.0
313,서울특별시 동작구 신대방1동,신대방1동,79.5,3506.0
314,서울특별시 동작구 신대방2동,신대방2동,67.16666667,61963.0
315,서울특별시 동작구 흑석동,흑석동,117.16666670000001,16669.0
316,서울특별시 동작구 노량진1동,노량진1동,132.8333333,1649.0
317,서울특별시 동작구 사당2동,사당2동,116.83333329999999,117.0
318,서울특별시 관악구 보라매동,보라매동,126.83333329999999,39583.0
319,서울특별시 관악구 청림동,청림동,78.66666667,175.0
320,서울특별시 관악구 행운동,행운동,118.5,1019.0
321,서울특별시 관악구 낙성대동,낙성대동,48.5,858.0
322,서울특별시 관악구 중앙동,중앙동,71.33333333,86.0
323,서울특별시 관악구 인헌동,인헌동,91.66666667,52.0
324,서울특별시 관악구 남현동,남현동,53.66666667,5.0
325,서울특별시 관악구 서원동,서원동,113.33333329999999,4695.0
326,서울특별시 관악구 신원동,신원동,93.33333333,292.0
327,서울특별시 관악구 서림동,서림동,94.0,239.0
328,서울특별시 관악구 신사동,신사동,110.16666670000001,620.0
329,서울특별시 관악구 신사동,신사동,110.16666670000001,620.0
330,서울특별시 강남구 신사동,신사동,31.83333333,620.0
331,서울특별시 강남구 신사동,신사동,31.83333333,620.0
332,서울특별시 관악구 신림동,신림동,89.66666667,528.0
333,서울특별시 관악구 난향동,난향동,77.0,768.0
334,서울특별시 관악구 조원동,조원동,88.83333333,6.0
335,서울특별시 관악구 대학동,대학동,86.5,495.0
336,서울특별시 관악구 은천동,은천동,199.16666669999998,10819.0
337,서울특별시 관악구 성현동,성현동,171.83333330000002,3339.0
338,서울특별시 관악구 청룡동,청룡동,114.5,1512.0
339,서울특별시 관악구 난곡동,난곡동,189.33333330000002,973.0
340,서울특별시 관악구 삼성동,삼성동,132.8333333,8550.0
341,서울특별시 관악구 미성동,미성동,154.83333330000002,1355.0
342,서울특별시 서초구 서초1동,서초1동,44.83333333,30520.0
343,서울특별시 서초구 서초2동,서초2동,40.66666667,146.0
344,서울특별시 서초구 서초3동,서초3동,83.33333333,5913.0
345,서울특별시 서초구 서초4동,서초4동,45.83333333,261.0
346,서울특별시 서초구 잠원동,잠원동,66.5,900.0
347,서울특별시 서초구 반포본동,반포본동,18.0,0.0
348,서울특별시 서초구 반포1동,반포1동,64.0,20.0
349,서울특별시 서초구 반포2동,반포2동,30.5,18.0
350,서울특별시 서초구 반포3동,반포3동,33.0,324.0
351,서울특별시 서초구 반포4동,반포4동,37.83333333,20313.0
352,서울특별시 서초구 방배본동,방배본동,60.0,15.0
353,서울특별시 서초구 방배1동,방배1동,62.66666667,0.0
354,서울특별시 서초구 방배2동,방배2동,92.33333333,796.0
355,서울특별시 서초구 방배3동,방배3동,65.66666667,96.0
356,서울특별시 서초구 방배4동,방배4동,105.16666670000001,644.0
357,서울특별시 서초구 양재1동,양재1동,197.0,27600.0
358,서울특별시 서초구 양재2동,양재2동,69.5,2261.0
359,서울특별시 서초구 내곡동,내곡동,104.83333329999999,9165.0
360,서울특별시 강남구 논현1동,논현1동,88.5,321.0
361,서울특별시 강남구 논현2동,논현2동,63.16666667,237.0
362,서울특별시 강남구 삼성1동,삼성1동,26.33333333,3727.0
363,서울특별시 강남구 삼성2동,삼성2동,68.0,77.0
364,서울특별시 강남구 대치1동,대치1동,31.16666667,167.0
365,서울특별시 강남구 대치4동,대치4동,39.33333333,35.0
366,서울특별시 강남구 역삼1동,역삼1동,84.66666667,20953.0
